+QRSRP:	-87	-111	-32768	-32768	NR5G						
+QRSRP:	-87	-111	-32768	-32768	NR5G						
+QRSRP:	-88	-111	-32768	-32768	NR5G						
+QRSRP:	-87	-107	-32768	-32768	NR5G						
+QRSRP:	-99	-101	-32768	-32768	NR5G				-97		
+QRSRP:	-96	-101	-32768	-32768	NR5G						
+QRSRP:	-97	-101	-32768	-32768	NR5G						
+QRSRP:	-97	-101	-32768	-32768	NR5G						
+QRSRP:	-96	-102	-32768	-32768	NR5G						
+QRSRP:	-100	-106	-32768	-32768	NR5G				-95.6		
+QRSRP:	-93	-100	-32768	-32768	NR5G						
+QRSRP:	-95	-100	-32768	-32768	NR5G						
+QRSRP:	-96	-100	-32768	-32768	NR5G						
+QRSRP:	-94	-100	-32768	-32768	NR5G						
											
					
